id,text,anger,disgust,fear,joy,sadness,surprise,emotions,language,split,text_clean
afr_train_track_a_00001,"die grondeienaars het die departement genader om hulp, waarna die tegniese aspekte van die die voorgestelde projek ondersoek en ontleed was.",0,0.0,0,0,0,0.0,[],afrikaans,train,die grondeienaars het die departement genader om hulp waarna die tegniese aspekte van die die voorgestelde projek ondersoek en ontleed was
afr_train_track_a_00002,dit is verder 'n erkende feit dat daar meningsverskil betstaan rondom die vertolking van onderwysregte in suid-afrika.,0,0.0,0,0,0,0.0,[],afrikaans,train,dit is verder n erkende feit dat daar meningsverskil betstaan rondom die vertolking van onderwysregte in suidafrika
afr_train_track_a_00003,baie families in die wes-kaap is in rou gedompel en heelwat families het meer as een familielid aan die dood afgestaan.,0,0.0,0,0,1,0.0,['sadness'],afrikaans,train,baie families in die weskaap is in rou gedompel en heelwat families het meer as een familielid aan die dood afgestaan
afr_train_track_a_00004,ons wil u deelmaak van die werk wat ons doen.,0,0.0,0,1,0,0.0,['joy'],afrikaans,train,ons wil u deelmaak van die werk wat ons doen
afr_train_track_a_00005,en dit onderstreep waarom naln en nelm gesamentlik en afsonderlik 'n onverhandelbare nasionale kul-turele bate vorm.,0,0.0,0,1,0,0.0,['joy'],afrikaans,train,en dit onderstreep waarom naln en nelm gesamentlik en afsonderlik n onverhandelbare nasionale kulturele bate vorm
afr_train_track_a_00006,ons het ook r15 miljard begroot vir die uitgebreide openbare werke program met die doel om meer werks- en opleidingsgeleenthede te skep.,0,0.0,0,1,0,0.0,['joy'],afrikaans,train,ons het ook r15 miljard begroot vir die uitgebreide openbare werke program met die doel om meer werks en opleidingsgeleenthede te skep
afr_train_track_a_00007,om toe te sien dat maatreëls ter verlaging van die koste van medisyne onmiddellik in werking gestel word.,0,0.0,0,1,0,0.0,['joy'],afrikaans,train,om toe te sien dat maatreëls ter verlaging van die koste van medisyne onmiddellik in werking gestel word
afr_train_track_a_00008,dit gee hulle die kans om te vergoed vir dat wat hulle verkeerd gedoen het.,0,0.0,0,1,0,0.0,['joy'],afrikaans,train,dit gee hulle die kans om te vergoed vir dat wat hulle verkeerd gedoen het
afr_train_track_a_00009,ons vier hierdie dag saam met voormalige politieke gevangenes wat ons spesiaal uitgenooi het om hier by ons aan te sluit.,0,0.0,0,1,0,0.0,['joy'],afrikaans,train,ons vier hierdie dag saam met voormalige politieke gevangenes wat ons spesiaal uitgenooi het om hier by ons aan te sluit
afr_train_track_a_00010,ons implementeer planne om die aantal polisiemanne en -vroue oor die volgende 10 jaar met 10% te vermeerder.,0,0.0,0,0,0,0.0,[],afrikaans,train,ons implementeer planne om die aantal polisiemanne en vroue oor die volgende 10 jaar met 10 te vermeerder
afr_train_track_a_00011,daar word ook baie oor afrikaans gepraat.,0,0.0,0,0,0,0.0,[],afrikaans,train,daar word ook baie oor afrikaans gepraat
afr_train_track_a_00012,"oor agt dae, op 16 februarie, sal sy 92 jaar oud wees.",0,0.0,0,0,0,0.0,[],afrikaans,train,oor agt dae op 16 februarie sal sy 92 jaar oud wees
afr_train_track_a_00013,sterkte en alles van die beste vir u en vir ons land.,0,0.0,0,1,0,0.0,['joy'],afrikaans,train,sterkte en alles van die beste vir u en vir ons land
afr_train_track_a_00014,dit sluit nie net onderwys en kultuur-organisasies in nie.,0,0.0,0,0,0,0.0,[],afrikaans,train,dit sluit nie net onderwys en kultuurorganisasies in nie
afr_train_track_a_00015,elf jaar later is bloemfontein se isolasie van die res van die land luisterryk beëindig met die koms van die stoomtrein.,0,0.0,0,1,0,0.0,['joy'],afrikaans,train,elf jaar later is bloemfontein se isolasie van die res van die land luisterryk beëindig met die koms van die stoomtrein
