text,aspect,sentiment_label,language
$T$ BA QOSUOE KA PELAELO EA HO BOLAEA MOSHEMANE LEBOLLONG,BASUOE,-1,sesotho
BASUOE BA QOSUOE KA PELAELO EA HO BOLAEA $T$ LEBOLLONG,MOSHEMANE,0,sesotho
BASUOE BA QOSUOE KA PELAELO EA HO BOLAEA MOSHEMANE $T$,LEBOLLONG,0,sesotho
TSEBA $T$ A NAHA,MARENA A SEHLOOHO,0,sesotho
TSEBA MARENA A SEHLOOHO A $T$,NAHA,0,sesotho
LINTLHA-KHOLO MABAPI LE $T$ E OETSENG BATHO,NTLO,-1,sesotho
LINTLHA-KHOLO MABAPI LE NTLO E OETSENG $T$,BATHO,0,sesotho
$T$ O KHAOTSOE BOTONA LE MENOANA A NTSE A PHELA,MOTHO,-1,sesotho
MOTHO O KHAOTSOE $T$ LE MENOANA A NTSE A PHELA,BOTONA,-1,sesotho
MOTHO O KHAOTSOE BOTONA LE $T$ A NTSE A PHELA,MENOANA,-1,sesotho
$T$ TSE BOHLOKO HO MAQHEKU LE MAQHEKOANA NAKONG ENA EA KERESEMESE,LITABA,-1,sesotho
LITABA TSE BOHLOKO HO $T$ LE MAQHEKOANA NAKONG ENA EA KERESEMESE,MAQHEKU,0,sesotho
LITABA TSE BOHLOKO HO MAQHEKU LE $T$ NAKONG ENA EA KERESEMESE,MAQHEKOANA,0,sesotho
$T$ O LOKELA HO BUSA LILEMO TSE HLANO,TONAKHOLO,1,sesotho
$T$ A TLO QOBELLA BAAHI HO KHAOLA LETLALO LA BOTONA,MAPARAMENTE,-1,sesotho
MAPARAMENTE A TLO QOBELLA $T$ HO KHAOLA LETLALO LA BOTONA,BAAHI,0,sesotho
MAPARAMENTE A TLO QOBELLA BAAHI HO KHAOLA $T$,LETLALO LA BOTONA,0,sesotho
$T$ SEA HOLA KAJENO,SEBINI,1,sesotho
$T$ E TSOA KA LEHE KAJENO,MEKHA EA POLOTIKI,-1,sesotho
HOSANE HO LEBELETSOE $T$ TSE MATLA,LIKHOHOLA,-1,sesotho
$T$ O ROKA NAHA MACHABENG,TONAKHOLO,0,sesotho
TONAKHOLO O ROKA $T$ MACHABENG,NAHA,1,sesotho
$T$ LE THEOLETSE TSE LING TSA LITŠEBELETSO SECHABENG,LETONA,1,sesotho
LETONA LE THEOLETSE TSE LING TSA $T$ SECHABENG,LITŠEBELETSO,0,sesotho
$T$ BO KHAOHILE HAPE TSEBISO E POTLAKILENG,BOROKHO,-1,sesotho
BOROKHO BO KHAOHILE HAPE $T$ E POTLAKILENG,TSEBISO,1,sesotho
$T$ O TLO FA LESOLE LE LENG LE LENG M100 000,'MUSO,1,sesotho
'MUSO O TLO FA $T$ LE LENG LE LENG M100 000,LESOLE,0,sesotho
$T$ EA SESOLE,PHATLALATSO,0,sesotho
PHATLALATSO EA $T$,SESOLE,0,sesotho
HO BONOA $T$ LETAMONG,SETOPO,-1,sesotho
HO BONOA SETOPO $T$,LETAMONG,-1,sesotho
$T$ O AMEHA BOSHOLUNG BA LIPHOOFOLO,MOPARAMENTE,-1,sesotho
MOPARAMENTE O AMEHA BOSHOLUNG BA $T$,LIPHOOFOLO,0,sesotho
$T$ LA KOMITI EA NAKOANA EA MOKHA O MOCHA,LENANE,0,sesotho
LENANE LA $T$ EA MOKHA O MOCHA,KOMITI EA NAKOANA,0,sesotho
LENANE LA KOMITI EA NAKOANA EA $T$ O MOCHA,MOKHA,1,sesotho
$T$ O TLO NEHELANA KA SETHUNYA SA POLASETIKI MAPOLESENG,MOPAREMENTE,-1,sesotho
MOPARAMENTE O TLO NEHELANA KA $T$ SA POLASETIKI MAPOLESENG,SETHUNYA,-1,sesotho
MOPARAMENTE O TLO NEHELANA KA SETHUNYA SA POLASETIKI $T$,MAPOLESENG,0,sesotho
$T$ O BONA MASOBA KATLEHONG EA TONAKHOLO LE 'MUSO OA HAE,MOPARAMENTE,0,sesotho
MOPARAMENTE O BONA MASOBA KATLEHONG EA $T$ LE 'MUSO OA HAE,TONAKHOLO,-1,sesotho
MOPARAMENTE O BONA MASOBA KATLEHONG EA TONAKHOLO LE $T$ OA HAE,'MUSO,-1,sesotho
$T$ TSE LING TSE MONATE KE TSENA,LITABA,1,sesotho
$T$ TSE MONATE,LITABA,1,sesotho
HO ETSAHETSE KOLOI E MPE EA $T$,KOLOI,-1,sesotho
$T$ O RE BATHO KE LITHOTHO,MONNA,0,sesotho
MONNA O RE $T$ KE LITHOTHO,BATHO,-1,sesotho
KE BOTHATA HO $T$ HO LATA MOFU EA SELAKHUOENG,SEPOLESA,-1,sesotho
KE BOTHATA HO SEPOLESA HO LATA $T$ EA SELAKHUOENG,MOFU,-1,sesotho
PALO EA $T$ BA SHOELETSENG MORAFONG E NETEFALITSOE,BATHO,-1,sesotho
PALO EA BATHO BA SHOELETSENG $T$ E NETEFALITSOE,MORAFONG,-1,sesotho
$T$ O TLA TŠOARA 'MOKA OA BAPHATLALATSI BA LITABA KAJENO,'MUSO,1,sesotho
'MUSO O TLA TŠOARA $T$ BA LITABA KAJENO,'MOKA OA BAPHATLALATSI,0,sesotho
$T$ EA FUMANOENG MOSALING OA MOTHO LEFISOA M5 000,MONNA,-1,sesotho
MONNA EA FUMANOENG $T$ OA MOTHO LEFISOA M5 000,MOSALING,0,sesotho
KE TLOLO EA MOLAO HO TIMA BOMME CHELETE,TLOLO EA MOLAO,-1,sesotho
KE TLOLO EA MOLAO HO TIMA $T$ CHELETE,BOMME,0,sesotho
KE TLOLO EA MOLAO HO TIMA BOMME $T$,CHELETE,-1,sesotho
$T$ O AKHELOA KHOTLA O QOSUOE,TONAKHOLO,-1,sesotho
TONAKHOLO O AKHELOA $T$ O QOSUOE,KHOTLA,0,sesotho
$T$ O TLANNGOE MATSOHO KA HO FELETSENG,TONAKHOLO,-1,sesotho
TONAKHOLO O TLANNGOE $T$ KA HO FELETSENG,MATSOHO,0,sesotho
$T$ BA ROBONG BA TŠOEROE,BATHO,-1,sesotho
$T$ A KHUTLA A HOSHOLA HA MOPARAMENTE,MAPOLESA,-1,sesotho
MAPOLESA A KHUTLA A HOSHOLA HA $T$,MOPARAMENTE,0,sesotho
$T$ LI THATA LI HLOKA 'NETE FELA,LITABA TSA NAHA,-1,sesotho
MOHLOLO OA $T$ NA LITSI TSA TŠIRELETSO LI CAPTURED,TABA,0,sesotho
MOHLOLO OA TABA NA $T$ LI CAPTURED,LITSI TSA TŠIRELETSO,-1,sesotho
$T$ TSE MONATE KE TSENA,LITABA,1,sesotho
$T$ POLAONG EA MOOKAMELI BA HLAHA KHOTLA,BAQOSUOA,-1,sesotho
BAQOSUOA POLAONG EA $T$ BA HLAHA KHOTLA,MOOKAMELI,0,sesotho
BAQOSUOA POLAONG EA MOOKAMELI BA HLAHA $T$,KHOTLA,0,sesotho
$T$ O ITELA BOOTLOANE HO TONAKHOLO,MOKHETHOA,1,sesotho
MOKHETHOA O ITELA BOOTLOANE HO $T$,TONAKHOLO,0,sesotho
$T$ EA LILEMO LI 12 O TLA LULA TERONKONG LILEMO TSE PELI,NGOANANYANA,-1,sesotho
NGOANANYANA EA LILEMO LI 12 O TLA LULA $T$ LILEMO TSE PELI,TERONKONG,0,sesotho
$T$ A TLO NYOLOHA HO TLOHA KA LA 1 TŠITOE 2023,MAKOLOI A BAETI,-1,sesotho
$T$ A NYOLOHILE,MAKOLOI A BAETI,-1,sesotho
$T$ SE PHONYOHA TORONKO,SEBAPALI SA BOLO,1,sesotho
