text,aspect,sentiment_label,language
-1,TSEBA MARENA A SEHLOOHO A NAHA,0,sesotho
-1,MOTHO O KHAOTSOE BOTONA LE MENOANA A NTSE A PHELA,-1,sesotho
-1,TONAKHOLO O LOKELA HO BUSA LILEMO TSE HLANO,1,sesotho
-1,SEBINI SEA HOLA KAJENO,1,sesotho
-1,HOSANE HO LEBELETSOE LIKHOHOLA TSE MATLA,-1,sesotho
1,LETONA LE THEOLETSE TSE LING TSA LITŠEBELETSO SECHABENG,1,sesotho
-1,'MUSO O TLO FA LESOLE LE LENG LE LENG M100 000,1,sesotho
0,HO BONOA SETOPO LETAMONG,-1,sesotho
-1,LENANE LA KOMITI EA NAKOANA EA MOKHA O MOCHA,1,sesotho
-1,MOPARAMENTE O BONA MASOBA KATLEHONG EA TONAKHOLO LE 'MUSO OA HAE,-1,sesotho
1,LITABA TSE MONATE,1,sesotho
-1,MONNA O RE BATHO KE LITHOTHO,-1,sesotho
-1,PALO EA BATHO BA SHOELETSENG MORAFONG E NETEFALITSOE,-1,sesotho
1,MONNA EA FUMANOENG MOSALING OA MOTHO LEFISOA M5 000,-1,sesotho
-1,TONAKHOLO O AKHELOA KHOTLA O QOSUOE,-1,sesotho
-1,BATHO BA ROBONG BA TŠOEROE,-1,sesotho
-1,LITABA TSA NAHA LI THATA LI HLOKA 'NETE FELA,-1,sesotho
-1,LITABA TSE MONATE KE TSENA,1,sesotho
1,MOKHETHOA O ITELA BOOTLOANE HO TONAKHOLO,1,sesotho
-1,MAKOLOI A BAETI A TLO NYOLOHA HO TLOHA KA LA 1 TŠITOE 2023,-1,sesotho
-1,SEBAPALI SA BOLO SE PHONYOHA TERONKO,1,sesotho
-1,LE KAJENO LITŠEPISO TSA TONAKHOLO LE LETONA HA LI SO PHETHAHALE,-1,sesotho
1,PHANO EA LIPASA E NTSE E TSAMAEA KA THELLO E KHOLO,1,sesotho
1,BA SEBOKO KA HO NYOLOHA HOA MAKOLOI,-1,sesotho
0,TONAKHOLO O TLO AHA MATLO A BATHO A FEFOHILENG,1,sesotho
1,TONAKHOLO O QALELETSE HO FEPA SECHABA,1,sesotho
1,MOPARAMENTE LE EENA O FUOA BOTONA KE TONAKHOLO,1,sesotho
1,TONAKHOLO O TLO ABELA SECHABA LIJO-THOLLO,1,sesotho
0,MOHANYETSI E MOHOLO OA 'MUSO O TLO QHAUTSOA,1,sesotho
1,TONAKHOLO O TSOELAPELE KA MOSEBETSI O MOTLE,1,sesotho
1,SEHLOPHA SA BOLO SE BOELA E NGOLA NALANE E MPE,-1,sesotho
