text,aspect,sentiment_label,language,text_clean
-1,TSEBA MARENA A SEHLOOHO A NAHA,0,sesotho,1
0,HO BONOA SETOPO LETAMONG,-1,sesotho,0
1G,KAROLO EA KOMPONE E CHELE KAJENO,-1,sesotho,1g
$T$ BA QOSUOE KA PELAELO EA HO BOLAEA MOSHEMANE LEBOLLONG,BASUOE,-1,sesotho,t ba qosuoe ka pelaelo ea ho bolaea moshemane lebollong
BASUOE BA QOSUOE KA PELAELO EA HO BOLAEA $T$ LEBOLLONG,MOSHEMANE,0,sesotho,basuoe ba qosuoe ka pelaelo ea ho bolaea t lebollong
BASUOE BA QOSUOE KA PELAELO EA HO BOLAEA MOSHEMANE $T$,LEBOLLONG,0,sesotho,basuoe ba qosuoe ka pelaelo ea ho bolaea moshemane t
TSEBA $T$ A NAHA,MARENA A SEHLOOHO,0,sesotho,tseba t a naha
TSEBA MARENA A SEHLOOHO A $T$,NAHA,0,sesotho,tseba marena a sehlooho a t
LINTLHA-KHOLO MABAPI LE $T$ E OETSENG BATHO,NTLO,-1,sesotho,lintlhakholo mabapi le t e oetseng batho
LINTLHA-KHOLO MABAPI LE NTLO E OETSENG $T$,BATHO,0,sesotho,lintlhakholo mabapi le ntlo e oetseng t
$T$ O KHAOTSOE BOTONA LE MENOANA A NTSE A PHELA,MOTHO,-1,sesotho,t o khaotsoe botona le menoana a ntse a phela
MOTHO O KHAOTSOE $T$ LE MENOANA A NTSE A PHELA,BOTONA,-1,sesotho,motho o khaotsoe t le menoana a ntse a phela
MOTHO O KHAOTSOE BOTONA LE $T$ A NTSE A PHELA,MENOANA,-1,sesotho,motho o khaotsoe botona le t a ntse a phela
$T$ TSE BOHLOKO HO MAQHEKU LE MAQHEKOANA NAKONG ENA EA KERESEMESE,LITABA,-1,sesotho,t tse bohloko ho maqheku le maqhekoana nakong ena ea keresemese
LITABA TSE BOHLOKO HO $T$ LE MAQHEKOANA NAKONG ENA EA KERESEMESE,MAQHEKU,0,sesotho,litaba tse bohloko ho t le maqhekoana nakong ena ea keresemese
LITABA TSE BOHLOKO HO MAQHEKU LE $T$ NAKONG ENA EA KERESEMESE,MAQHEKOANA,0,sesotho,litaba tse bohloko ho maqheku le t nakong ena ea keresemese
$T$ O LOKELA HO BUSA LILEMO TSE HLANO,TONAKHOLO,1,sesotho,t o lokela ho busa lilemo tse hlano
$T$ A TLO QOBELLA BAAHI HO KHAOLA LETLALO LA BOTONA,MAPARAMENTE,-1,sesotho,t a tlo qobella baahi ho khaola letlalo la botona
MAPARAMENTE A TLO QOBELLA $T$ HO KHAOLA LETLALO LA BOTONA,BAAHI,0,sesotho,maparamente a tlo qobella t ho khaola letlalo la botona
MAPARAMENTE A TLO QOBELLA BAAHI HO KHAOLA $T$,LETLALO LA BOTONA,0,sesotho,maparamente a tlo qobella baahi ho khaola t
$T$ SEA HOLA KAJENO,SEBINI,1,sesotho,t sea hola kajeno
$T$ E TSOA KA LEHE KAJENO,MEKHA EA POLOTIKI,-1,sesotho,t e tsoa ka lehe kajeno
HOSANE HO LEBELETSOE $T$ TSE MATLA,LIKHOHOLA,-1,sesotho,hosane ho lebeletsoe t tse matla
